trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4975, 'e': 0.99}",20,0,-144.25345916916922,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.4950125, 'e': 0.9801}",30,0,-189.1622503938433,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.4925374375, 'e': 0.970299}",25,0,-228.13019819539238,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.4900747503125, 'e': 0.96059601}",30,0,-239.9112578408488,"{0: 17, 1: 0, 2: 8, 3: 1, 4: 4}",0
5,False,"{'a': 0.4876243765609375, 'e': 0.9509900498999999}",35,0,-141.6816889253405,"{0: 27, 1: 1, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.4851862546781328, 'e': 0.941480149401}",20,0,-89.62729630702046,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.4827603234047421, 'e': 0.9320653479069899}",20,16,7.228400825583902,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.4803465217877184, 'e': 0.9227446944279201}",25,0,-42.905256042861765,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.4779447891787798, 'e': 0.9135172474836408}",25,0,-130.16776191165368,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
10,False,"{'a': 0.47555506523288593, 'e': 0.9043820750088044}",25,14,-8.13370722623647,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.4731772899067215, 'e': 0.8953382542587164}",20,0,-138.39628653762284,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.47081140345718786, 'e': 0.8863848717161292}",25,0,-148.23128428075475,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.46845734643990194, 'e': 0.8775210229989678}",35,17,-107.784058736019,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 1}",1
14,False,"{'a': 0.46611505970770245, 'e': 0.8687458127689782}",25,9,-67.30880048690145,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.4637844844091639, 'e': 0.8600583546412884}",20,0,-43.38450324842547,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.4614655619871181, 'e': 0.8514577710948755}",30,18,-35.451257712885365,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.4591582341771825, 'e': 0.8429431933839268}",25,0,-89.726327084711,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.4568624430062966, 'e': 0.8345137614500875}",25,1,-158.73393062655938,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 3}",1
19,False,"{'a': 0.4545781307912651, 'e': 0.8261686238355866}",20,0,-88.31508966478378,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
