trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.998}",20,0,-135.50404571827815,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.996}",25,0,-206.61764534292277,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.994}",20,0,-44.01048644735219,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.992}",20,0,-130.23835698275562,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.99}",20,0,-99.48949922496081,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.988}",30,0,-161.87555185986224,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.986}",25,0,-107.87357917792178,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.984}",25,0,-248.74748580548564,"{0: 14, 1: 1, 2: 2, 3: 4, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.982}",20,0,-83.08534954895138,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.98}",25,0,-165.66909254644867,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.978}",30,0,-184.42314047579058,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.976}",20,0,-69.34442854078938,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.974}",20,0,-34.171141964664166,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.972}",25,0,-98.05286725340615,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.97}",30,6,-161.43647852529176,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.968}",25,0,-162.6880287113838,"{0: 18, 1: 2, 2: 0, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.966}",20,0,-65.46797703687544,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.964}",25,0,-58.056111372254826,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.962}",25,0,-200.83490447523855,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.96}",20,0,-44.84429484613681,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.958}",25,0,-262.2197455720061,"{0: 9, 1: 1, 2: 9, 3: 3, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.956}",35,0,-76.5779754520044,"{0: 27, 1: 4, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.954}",25,0,-102.99507023825342,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.952}",20,0,-75.67916522768522,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.95}",20,0,-157.0487625118871,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.948}",25,0,-16.10513474625705,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.946}",30,0,-89.90948445984577,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.944}",25,14,-22.352919307381807,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.942}",20,0,-89.55789158620225,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.94}",25,0,-180.09173851738026,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.938}",20,0,-59.821273800302585,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9359999999999999}",25,0,-185.08583312989384,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.9339999999999999}",20,0,-92.06216266872363,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9319999999999999}",20,0,-76.28373402494097,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-114.34199963412495,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9279999999999999}",30,0,-236.79085134860384,"{0: 17, 1: 0, 2: 8, 3: 1, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.9259999999999999}",20,0,-34.090519976599445,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9239999999999999}",20,9,1.8519657626925716,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.9219999999999999}",20,0,-127.02701377114514,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-168.57903264967476,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",1
41,False,"{'a': 0.5, 'e': 0.9179999999999999}",35,0,-191.51661094745464,"{0: 22, 1: 5, 2: 3, 3: 2, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.9159999999999999}",25,0,-126.19052296901164,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9139999999999999}",20,0,-142.16319489671258,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9119999999999999}",20,0,-57.84608122004483,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-28.566203984535665,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9079999999999999}",30,0,-239.13166644694599,"{0: 14, 1: 1, 2: 11, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9059999999999999}",20,0,-67.46775583661838,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9039999999999999}",35,0,-118.64595102251923,"{0: 26, 1: 1, 2: 4, 3: 3, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9019999999999999}",25,0,-67.9861221076714,"{0: 18, 1: 3, 2: 1, 3: 3, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-89.33293715783292,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.8979999999999999}",20,0,-40.310409295117154,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.8959999999999999}",20,0,-49.3920768223771,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.8939999999999999}",25,0,-149.0089140539711,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.8919999999999999}",20,0,-95.39008311586045,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-56.81649032947291,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.8879999999999999}",20,0,-128.52132801229422,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.8859999999999999}",20,0,-71.84453401439642,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.8839999999999999}",20,0,-123.54276025664491,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.8819999999999999}",25,0,-183.31193756460752,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-176.83801323084353,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.8779999999999999}",20,2,-107.48391357004644,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.8759999999999999}",25,0,-161.6421341684144,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.8739999999999999}",20,0,-23.83079371287393,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.8719999999999999}",25,17,3.3773613716318494,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,13,-4.181527173827872,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.8679999999999999}",20,0,-11.92143100423407,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.8659999999999999}",30,0,-126.33046700583114,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.8639999999999999}",20,0,-144.03628166252534,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.8619999999999999}",20,0,-74.28307022983691,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-32.27075831742925,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.8579999999999999}",20,0,-122.95253734407947,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.8559999999999999}",25,0,-88.72808874235331,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.8539999999999999}",20,0,-107.49226477644295,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.8519999999999999}",20,9,0.06800909002602973,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,3,-42.67472951035201,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.8479999999999999}",30,22,-19.60698497723476,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.8459999999999999}",20,8,-2.4620560600051835,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.8439999999999999}",25,0,-54.57173662860556,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
