trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-108.32915729315059,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-63.26517686402042,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-166.52850019397238,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-153.13251390711252,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-217.64923826683076,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-90.26857031587531,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-142.4076288833321,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-11.325091706056202,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-154.84124043698895,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-102.88980956039639,"{0: 9, 1: 7, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-175.3952585246328,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-93.27861199564857,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,14,-13.303070434817448,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-131.6295846820653,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-46.03529052547681,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-223.3057770980584,"{0: 11, 1: 1, 2: 9, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-70.19732017148701,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-96.35562818805975,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-56.82580976973533,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-146.0005175622824,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-67.28801647124337,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-144.9474985183599,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-147.36746094278647,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-175.92354785227866,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-99.58085263873456,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,7,-22.093701396555122,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-99.95299054037149,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,3,-28.224273399222877,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,9,-107.09915865290591,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",25,0,-206.5117204269655,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
